recursion count,MSE,PSNR,SSIM,CUT,GAIN,TIME (S)
0,2.6774444580078125,43.85359890451193,0.9844736163909039,0.13608500438317497,"[10000, 10000, 10000]",0.12704410000060307
1,0.8594970703125,48.788359601814115,0.9958371870036598,0.13608500438317497,"[5000, 5000, 5000]",0.1810378000000128
2,0.8594970703125,48.788359601814115,0.9958371870036598,0.13608500438317497,"[5000, 5000, 5000]",0.2379404000002978
3,0.8594970703125,48.788359601814115,0.9958371870036598,0.13608500438317497,"[5000, 5000, 5000]",0.30199979999997595
4,0.6108245849609375,50.27163852296887,0.9974552240849125,0.13608500438317497,"[3749, 3749, 5000]",0.358504300000277
5,0.5173492431640625,50.99296542778581,0.9980435088932483,0.13608500438317497,"[2811, 3436, 4687]",0.48202110000056564
6,0.5173492431640625,50.99296542778581,0.9980435088932483,0.13608500438317497,"[2811, 3436, 4687]",0.5143231000001833
7,0.509307861328125,51.06099981167138,0.9980953605183008,0.13608500438317497,"[2655, 3280, 4687]",0.5190966000000117
8,0.5061187744140625,51.08827913159602,0.9981115021482051,0.13608500438317497,"[2577, 3280, 4608]",0.5606316000003062
9,0.5050506591796875,51.097454185933046,0.9981157094144562,0.13608500438317497,"[2538, 3280, 4569]",0.6043158000002222
10,0.50445556640625,51.10257442256181,0.9981196690443054,0.13608500438317497,"[2518, 3280, 4549]",0.7273465000007491
11,0.503997802734375,51.10651717800195,0.9981221507386795,0.13608500438317497,"[2503, 3275, 4544]",0.7535677000005307
12,0.5038299560546875,51.10796375231651,0.9981223596198826,0.13608500438317497,"[2501, 3272, 4541]",0.7848463999998785
13,0.5037994384765625,51.10822681760334,0.9981227514470191,0.13608500438317497,"[2500, 3271, 4540]",0.828241700000035
14,0.5037994384765625,51.10822681760334,0.9981227514470191,0.13608500438317497,"[2500, 3271, 4540]",0.8324836999991021
15,0.5037994384765625,51.10822681760334,0.9981227514470191,0.13608500438317497,"[2500, 3271, 4540]",0.8255528999998205
16,0.5037994384765625,51.10822681760334,0.9981227514470191,0.13608500438317497,"[2500, 3271, 4540]",0.8282085000000734
17,0.5037994384765625,51.10822681760334,0.9981227514470191,0.13608500438317497,"[2500, 3271, 4540]",0.8535816000003251
18,0.5037994384765625,51.10822681760334,0.9981227514470191,0.13608500438317497,"[2500, 3271, 4540]",0.8342088999997941
19,0.5037994384765625,51.10822681760334,0.9981227514470191,0.13608500438317497,"[2500, 3271, 4540]",0.8301217999996879
